dataset,threshold,n_accepted,accept_rate,accuracy_on_accepted,ece_on_accepted
originals_only,0.000000,60,1.000000,0.983333,0.048698
originals_only,0.010000,60,1.000000,0.983333,0.048698
originals_only,0.020000,60,1.000000,0.983333,0.048698
originals_only,0.030000,60,1.000000,0.983333,0.048698
originals_only,0.040000,60,1.000000,0.983333,0.048698
originals_only,0.050000,60,1.000000,0.983333,0.048698
originals_only,0.060000,60,1.000000,0.983333,0.048698
originals_only,0.070000,60,1.000000,0.983333,0.048698
originals_only,0.080000,60,1.000000,0.983333,0.048698
originals_only,0.090000,60,1.000000,0.983333,0.048698
originals_only,0.100000,60,1.000000,0.983333,0.048698
originals_only,0.110000,60,1.000000,0.983333,0.048698
originals_only,0.120000,60,1.000000,0.983333,0.048698
originals_only,0.130000,60,1.000000,0.983333,0.048698
originals_only,0.140000,60,1.000000,0.983333,0.048698
originals_only,0.150000,60,1.000000,0.983333,0.048698
originals_only,0.160000,60,1.000000,0.983333,0.048698
originals_only,0.170000,60,1.000000,0.983333,0.048698
originals_only,0.180000,60,1.000000,0.983333,0.048698
originals_only,0.190000,60,1.000000,0.983333,0.048698
originals_only,0.200000,60,1.000000,0.983333,0.048698
originals_only,0.210000,60,1.000000,0.983333,0.048698
originals_only,0.220000,60,1.000000,0.983333,0.048698
originals_only,0.230000,60,1.000000,0.983333,0.048698
originals_only,0.240000,60,1.000000,0.983333,0.048698
originals_only,0.250000,60,1.000000,0.983333,0.048698
originals_only,0.260000,60,1.000000,0.983333,0.048698
originals_only,0.270000,60,1.000000,0.983333,0.048698
originals_only,0.280000,60,1.000000,0.983333,0.048698
originals_only,0.290000,60,1.000000,0.983333,0.048698
originals_only,0.300000,60,1.000000,0.983333,0.048698
originals_only,0.310000,60,1.000000,0.983333,0.048698
originals_only,0.320000,60,1.000000,0.983333,0.048698
originals_only,0.330000,60,1.000000,0.983333,0.048698
originals_only,0.340000,60,1.000000,0.983333,0.048698
originals_only,0.350000,60,1.000000,0.983333,0.048698
originals_only,0.360000,60,1.000000,0.983333,0.048698
originals_only,0.370000,60,1.000000,0.983333,0.048698
originals_only,0.380000,60,1.000000,0.983333,0.048698
originals_only,0.390000,60,1.000000,0.983333,0.048698
originals_only,0.400000,60,1.000000,0.983333,0.048698
